coin,cluster_id,t_start,t_end,deficit_usd,total_capacity_usd,budget_queue_usd,overshoot_queue_usd,residual_queue_usd
MELANIA,1,2025-10-10 21:16:56.356000+00:00,2025-10-10 21:16:56.356000+00:00,0.0,62753.34258,61344.95266199998,61344.95266199998,0.0
MELANIA,2,2025-10-10 21:18:50.860000+00:00,2025-10-10 21:18:50.860000+00:00,0.0,74573.59679200001,70325.17431,70325.17431,0.0
MELANIA,3,2025-10-10 21:19:40.207000+00:00,2025-10-10 21:19:40.207000+00:00,0.0,36844.792260999995,30540.895244,30540.895244,0.0
MELANIA,4,2025-10-10 21:20:04.816000+00:00,2025-10-10 21:20:04.816000+00:00,0.0,5506.0359320678035,5277.551230144351,5277.551230144351,0.0
MEME,1,2025-10-10 21:18:44.652000+00:00,2025-10-10 21:18:44.652000+00:00,0.0,1939.645479,1730.148143,1730.148143,0.0
MEME,2,2025-10-10 21:19:18.209000+00:00,2025-10-10 21:19:18.209000+00:00,0.0,14551.164152999998,12960.73472,12960.73472,0.0
MEME,3,2025-10-10 21:19:25.321000+00:00,2025-10-10 21:19:25.321000+00:00,0.0,22097.863306999996,19871.500042000003,19871.500042000003,0.0
MEME,4,2025-10-10 21:19:40.207000+00:00,2025-10-10 21:19:40.207000+00:00,0.0,37445.31401900001,21389.266914,21389.266914,0.0
MEME,5,2025-10-10 21:20:04.816000+00:00,2025-10-10 21:20:04.816000+00:00,0.0,1447.728232206539,1447.728232206539,1447.728232206539,0.0
MET,1,2025-10-10 21:24:58.066000+00:00,2025-10-10 21:25:29.514000+00:00,0.0,125512.15243900001,30331.033275,30331.033275,0.0
MET,2,2025-10-10 21:25:35.824000+00:00,2025-10-10 21:25:35.824000+00:00,0.0,25.46999999999999,2.1225,2.1225,0.0
MET,3,2025-10-10 21:25:42.225000+00:00,2025-10-10 21:25:47.734000+00:00,0.0,3762.518290486208,3551.920948864711,3551.920948864711,0.0
MET,4,2025-10-10 21:25:54.299000+00:00,2025-10-10 21:25:54.299000+00:00,0.0,0.1097335827683441,0.008886874660816602,0.008886874660816602,0.0
MET,5,2025-10-10 21:26:03.036000+00:00,2025-10-10 21:26:06.055000+00:00,0.0,21047.194475680786,19245.297889606867,19245.297889606867,0.0
MET,6,2025-10-10 21:26:11.869000+00:00,2025-10-10 21:26:11.869000+00:00,0.0,9221.169216026943,6562.514175917913,6562.514175917913,0.0
MET,7,2025-10-10 21:26:25.084000+00:00,2025-10-10 21:26:27.303000+00:00,0.0,9847.510536872336,4476.02768320971,4476.02768320971,0.0
MET,8,2025-10-10 21:26:36.757000+00:00,2025-10-10 21:26:36.757000+00:00,0.0,112.9003992997874,68.81170003544689,68.81170003544689,0.0
MET,9,2025-10-10 21:26:42.200000+00:00,2025-10-10 21:26:42.200000+00:00,0.0,12997.07191819045,10412.72516819045,10412.72516819045,0.0
MET,10,2025-10-10 21:26:51.489000+00:00,2025-10-10 21:26:51.489000+00:00,0.0,348.33360000000005,241.996711,241.996711,0.0
MET,11,2025-10-10 21:26:57.421000+00:00,2025-10-10 21:26:57.421000+00:00,0.0,3945.182353864528,2934.298865864527,2934.298865864527,0.0
MINA,1,2025-10-10 21:18:44.652000+00:00,2025-10-10 21:18:44.652000+00:00,0.0,7466.44845,2138.61598,2138.61598,0.0
MINA,2,2025-10-10 21:18:50.860000+00:00,2025-10-10 21:18:50.860000+00:00,0.0,31501.803479999995,20915.291612,20915.291612,0.0
MINA,3,2025-10-10 21:20:04.816000+00:00,2025-10-10 21:20:04.816000+00:00,0.0,38384.981112,144.825085,144.825085,0.0
MNT,1,2025-10-10 21:16:04.831000+00:00,2025-10-10 21:16:04.831000+00:00,5055.00868499987,264438.513269,258195.472365,253140.46368000013,0.0
MNT,2,2025-10-10 21:16:56.356000+00:00,2025-10-10 21:16:56.356000+00:00,0.0,370683.33848145814,356659.62868345797,356659.62868345797,0.0
MNT,3,2025-10-10 21:17:14.132000+00:00,2025-10-10 21:17:14.132000+00:00,0.0,1130236.867993,1001291.2215680002,1001291.2215680002,0.0
MNT,4,2025-10-10 21:17:26.528000+00:00,2025-10-10 21:17:26.528000+00:00,0.0,124434.58404,9882.52863,9882.52863,0.0
MNT,5,2025-10-10 21:17:44.653000+00:00,2025-10-10 21:17:44.653000+00:00,18729.647558000775,18098558.227188,141920.58072799997,123190.93316999919,0.0
MNT,6,2025-10-10 21:18:23.989000+00:00,2025-10-10 21:18:23.989000+00:00,0.0,3769420.321838294,1784660.9883019086,1784660.9883019086,0.0
MNT,7,2025-10-10 21:18:44.652000+00:00,2025-10-10 21:18:44.652000+00:00,0.0,316779.19650900003,193420.385553,193420.385553,0.0
MNT,8,2025-10-10 21:18:50.860000+00:00,2025-10-10 21:18:50.860000+00:00,0.0,28853.853720000003,3688.721148,3688.721148,0.0
MNT,9,2025-10-10 21:19:25.321000+00:00,2025-10-10 21:19:25.321000+00:00,0.0,36914.23581057695,23973.539287304062,23973.539287304062,0.0
MNT,10,2025-10-10 21:19:31.173000+00:00,2025-10-10 21:19:31.173000+00:00,0.0,3086.296399999999,5.171831,5.171831,0.0
MNT,11,2025-10-10 21:19:40.207000+00:00,2025-10-10 21:19:40.207000+00:00,0.0,143306.1542927336,35036.818523733615,35036.818523733615,0.0
MNT,12,2025-10-10 21:19:46.665000+00:00,2025-10-10 21:19:46.665000+00:00,0.0,125067.08209000004,53766.1208,53766.1208,0.0
MNT,13,2025-10-10 21:20:04.816000+00:00,2025-10-10 21:20:04.816000+00:00,0.0,515332.15584054874,152316.03726454877,152316.03726454877,0.0
MNT,14,2025-10-10 21:23:21.536000+00:00,2025-10-10 21:23:21.536000+00:00,0.0,24.947429999999997,20.86659,20.86659,0.0
MOODENG,1,2025-10-10 21:18:44.652000+00:00,2025-10-10 21:18:44.652000+00:00,0.0,46068.05699000001,6255.848661999999,6255.848661999999,0.0
MOODENG,2,2025-10-10 21:19:25.321000+00:00,2025-10-10 21:19:25.321000+00:00,0.0,14253.695366586746,974.5517599766531,974.5517599766531,0.0
MOODENG,3,2025-10-10 21:19:34.026000+00:00,2025-10-10 21:19:34.026000+00:00,0.0,7911.335320202143,4012.1073551388395,4012.1073551388395,0.0
MOODENG,4,2025-10-10 21:20:04.816000+00:00,2025-10-10 21:20:04.816000+00:00,0.0,377.946265,0.137485,0.137485,0.0
MORPHO,1,2025-10-10 21:16:56.356000+00:00,2025-10-10 21:16:56.356000+00:00,0.0,278108.28064899996,153077.416803,153077.416803,0.0
MORPHO,2,2025-10-10 21:17:14.132000+00:00,2025-10-10 21:17:14.132000+00:00,0.0,124137.25888099999,116083.983958,116083.983958,0.0
MORPHO,3,2025-10-10 21:18:23.989000+00:00,2025-10-10 21:18:23.989000+00:00,0.0,91433.09024038764,88174.92805890657,88174.92805890657,0.0
MORPHO,4,2025-10-10 21:18:44.652000+00:00,2025-10-10 21:18:44.652000+00:00,0.0,362685.0522442441,281469.68107024406,281469.68107024406,0.0
MORPHO,5,2025-10-10 21:19:18.209000+00:00,2025-10-10 21:19:18.209000+00:00,0.0,79599.338371,12770.486959000002,12770.486959000002,0.0
MORPHO,6,2025-10-10 21:19:40.207000+00:00,2025-10-10 21:19:40.207000+00:00,0.0,23614.452,13120.248179,13120.248179,0.0
MORPHO,7,2025-10-10 21:20:04.816000+00:00,2025-10-10 21:20:04.816000+00:00,0.0,383310.588757,95361.592642,95361.592642,0.0
MOVE,1,2025-10-10 21:18:50.860000+00:00,2025-10-10 21:18:50.860000+00:00,0.0,28459.418382,19589.453774999998,19589.453774999998,0.0
MOVE,2,2025-10-10 21:19:18.209000+00:00,2025-10-10 21:19:18.209000+00:00,0.0,1551.3521399999995,35.2026,35.2026,0.0
MOVE,3,2025-10-10 21:19:40.207000+00:00,2025-10-10 21:19:40.207000+00:00,0.0,1381.5909275156607,5.346383714554423,5.346383714554423,0.0
MOVE,4,2025-10-10 21:19:46.665000+00:00,2025-10-10 21:19:46.665000+00:00,0.0,1379.9788861136067,0.32165325932906175,0.32165325932906175,0.0
MOVE,5,2025-10-10 21:20:04.816000+00:00,2025-10-10 21:20:04.816000+00:00,0.0,76380.6230632606,28126.781345260595,28126.781345260595,0.0
NEAR,1,2025-10-10 21:18:23.989000+00:00,2025-10-10 21:18:23.989000+00:00,0.0,98056.52098499998,77584.40036,77584.40036,0.0
NEAR,2,2025-10-10 21:18:44.652000+00:00,2025-10-10 21:18:44.652000+00:00,0.0,960678.3811975934,248261.87507159333,248261.87507159333,0.0
